Date,High,Low,Open,Close,Currency
1996-01-02,390.6,390.6,387.1,390.6,USD
1996-01-03,394.35,394.35,390.55,394.35,USD
1996-01-04,394.45,394.45,394.3,394.45,USD
1996-01-05,395.5,395.5,394.4,395.5,USD
1996-01-08,396.6,396.6,395.7,396.6,USD
1996-01-09,396.35,396.35,396.4,396.35,USD
1996-01-10,399.9,399.9,396.45,399.9,USD
1996-01-11,398.45,398.45,399.75,398.45,USD
1996-01-12,396.2,396.2,397.95,396.2,USD
1996-01-15,395.85,395.85,396.65,395.85,USD
1996-01-16,398.35,398.35,396.05,398.35,USD
1996-01-17,399.5,399.5,399.15,399.5,USD
1996-01-18,396.75,396.75,399.65,396.75,USD
1996-01-19,399.4,399.4,396.25,399.4,USD
1996-01-22,403.3,403.3,399.25,403.3,USD
1996-01-23,403.5,403.5,403.4,403.5,USD
1996-01-24,403.1,403.1,403.45,403.1,USD
1996-01-25,406.75,406.75,402.75,406.75,USD
1996-01-26,405.85,405.85,406.65,405.85,USD
1996-01-29,406.05,406.05,405.9,406.05,USD
1996-01-30,404.4,404.4,406.1,404.4,USD
1996-01-31,406.45,406.45,404.4,406.45,USD
1996-02-01,413.0,413.0,406.4,413.0,USD
1996-02-02,415.35,415.35,413.55,415.35,USD
1996-02-05,413.7,413.7,415.6,413.7,USD
1996-02-06,412.4,412.4,413.65,412.4,USD
1996-02-07,408.65,408.65,412.35,408.65,USD
1996-02-08,409.5,409.5,408.95,409.5,USD
1996-02-09,405.45,405.45,409.65,405.45,USD
1996-02-12,401.1,401.1,405.3,401.1,USD
1996-02-13,403.9,403.9,401.35,403.9,USD
1996-02-14,404.25,404.25,404.05,404.25,USD
1996-02-15,403.35,403.35,404.6,403.35,USD
1996-02-16,405.45,405.45,403.45,405.45,USD
1996-02-19,405.65,405.65,405.65,405.65,USD
1996-02-20,399.25,399.25,405.85,399.25,USD
1996-02-21,402.25,402.25,399.25,402.25,USD
1996-02-22,399.75,399.75,402.3,399.75,USD
1996-02-23,398.25,398.25,399.55,398.25,USD
1996-02-26,399.05,399.05,398.05,399.05,USD
1996-02-27,398.25,398.25,399.25,398.25,USD
1996-02-28,400.35,400.35,398.25,400.35,USD
1996-02-29,399.75,399.75,400.15,399.75,USD
1996-03-01,398.75,398.75,399.45,398.75,USD
1996-03-04,393.95,393.95,398.9,393.95,USD
1996-03-05,393.6,393.6,394.1,393.6,USD
1996-03-06,393.25,393.25,393.85,393.25,USD
1996-03-07,395.45,395.45,393.4,395.45,USD
1996-03-08,397.1,397.1,395.55,397.1,USD
1996-03-11,395.55,395.55,397.45,395.55,USD
1996-03-12,396.55,396.55,395.7,396.55,USD
1996-03-13,396.95,396.95,396.6,396.95,USD
1996-03-14,395.7,395.7,396.8,395.7,USD
1996-03-15,396.2,396.2,395.7,396.2,USD
1996-03-18,395.6,395.6,396.25,395.6,USD
1996-03-19,395.35,395.35,395.55,395.35,USD
1996-03-20,395.95,395.95,395.3,395.95,USD
1996-03-21,398.0,398.0,395.95,398.0,USD
1996-03-22,398.35,398.35,397.95,398.35,USD
1996-03-25,398.85,398.85,398.15,398.85,USD
1996-03-26,400.2,400.2,398.05,400.2,USD
1996-03-27,400.15,400.15,400.3,400.15,USD
1996-03-28,396.5,396.5,400.25,396.5,USD
1996-03-29,395.45,395.45,396.75,395.45,USD
1996-04-01,394.95,394.95,395.3,394.95,USD
1996-04-02,393.95,393.95,394.9,393.95,USD
1996-04-03,394.15,394.15,393.95,394.15,USD
1996-04-04,394.75,394.75,394.25,394.75,USD
1996-04-05,394.75,394.75,394.9,394.75,USD
1996-04-08,397.85,397.85,394.9,397.85,USD
1996-04-09,394.5,394.5,397.7,394.5,USD
1996-04-10,395.25,395.25,394.75,395.25,USD
1996-04-11,395.45,395.45,395.35,395.45,USD
1996-04-12,394.55,394.55,395.55,394.55,USD
1996-04-15,393.35,393.35,394.55,393.35,USD
1996-04-16,391.45,391.45,393.35,391.45,USD
1996-04-17,391.15,391.15,391.35,391.15,USD
1996-04-18,390.45,390.45,391.25,390.45,USD
1996-04-19,390.6,390.6,390.45,390.6,USD
1996-04-22,391.65,391.65,390.25,391.65,USD
1996-04-23,391.3,391.3,391.65,391.3,USD
1996-04-24,390.75,390.75,391.55,390.75,USD
1996-04-25,393.35,393.35,390.75,393.35,USD
1996-04-26,390.4,390.4,393.45,390.4,USD
1996-04-29,390.55,390.55,390.45,390.55,USD
1996-04-30,391.65,391.65,390.55,391.65,USD
1996-05-01,393.05,393.05,391.7,393.05,USD
1996-05-02,394.05,394.05,392.95,394.05,USD
1996-05-03,392.45,392.45,394.1,392.45,USD
1996-05-06,394.05,394.05,392.65,394.05,USD
1996-05-07,394.05,394.05,393.95,394.05,USD
1996-05-08,393.05,393.05,394.15,393.05,USD
1996-05-09,392.85,392.85,393.15,392.85,USD
1996-05-10,390.65,390.65,393.05,390.65,USD
1996-05-13,391.45,391.45,390.25,391.45,USD
1996-05-14,391.85,391.85,391.3,391.85,USD
1996-05-15,392.7,392.7,392.0,392.7,USD
